stage neutrality: 386 fixtures, payload=on, flags /O1 /Oi /EHsc /GS- /c
  [1/386] SAME     add3.cpp  hits=71 regions=43 tuples=309
  [319/386] SAME     wrr_arg_vocab_neg.cpp  hits=75 regions=40 tuples=212
  [320/386] NOFIRE   wsect_both.cpp  hits=0 regions=0 tuples=0
  [321/386] NOFIRE   wsect_bss_big.cpp  hits=0 regions=0 tuples=0
  [322/386] NOFIRE   wsect_bss_one.cpp  hits=0 regions=0 tuples=0
  [323/386] NOFIRE   wsect_bss_pad.cpp  hits=0 regions=0 tuples=0
  [324/386] NOFIRE   wsect_bss_two.cpp  hits=0 regions=0 tuples=0
  [325/386] NOFIRE   wsect_data_linkage.cpp  hits=0 regions=0 tuples=0
  [326/386] NOFIRE   wsect_data_one.cpp  hits=0 regions=0 tuples=0
  [327/386] NOFIRE   wsect_data_two.cpp  hits=0 regions=0 tuples=0
  [328/386] NOFIRE   wsect_drop_static.cpp  hits=0 regions=0 tuples=0
  [329/386] NOFIRE   wsect_refuse_const.cpp  hits=0 regions=0 tuples=0
  [330/386] NOFIRE   wsect_refuse_float.cpp  hits=0 regions=0 tuples=0
  [331/386] NOFIRE   wsect_refuse_ptr.cpp  hits=0 regions=0 tuples=0
  [332/386] NOFIRE   wsect_refuse_selectany.cpp  hits=0 regions=0 tuples=0
  [333/386] NOFIRE   wsect_refuse_three.cpp  hits=0 regions=0 tuples=0
  [334/386] NOFIRE   wsect_refuse_tls.cpp  hits=0 regions=0 tuples=0
  [335/386] SAME     wsl_store_load.cpp  hits=600 regions=320 tuples=1906
  [336/386] SAME     wsl_store_load_neg.cpp  hits=165 regions=88 tuples=571
  [337/386] SAME     wtu3_framed_leaves_framed.cpp  hits=100 regions=51 tuples=265
  [338/386] SAME     wundname_alloc_init_or_fail.cpp  hits=35 regions=28 tuples=523
  [339/386] SAME     wundname_alloc_init_or_fail_neg.cpp  hits=280 regions=224 tuples=4166
  [340/386] SAME     wunw_float_beside_framed.cpp  hits=70 regions=35 tuples=183
  [341/386] SAME     wunw_float_neg.cpp  hits=30 regions=16 tuples=95
  [342/386] SAME     wunw_framed_pair.cpp  hits=30 regions=16 tuples=100
  [343/386] SAME     wunw_leaf_then_framed.cpp  hits=29 regions=15 tuples=83
  [344/386] SAME     wunw_mixed_order.cpp  hits=56 regions=28 tuples=155
  [345/386] SAME     wunw_two_leaves_framed.cpp  hits=43 regions=22 tuples=116
  [346/386] SAME     wvalue_call_value.cpp  hits=90 regions=48 tuples=379
  [347/386] SAME     wvalue_call_value_neg.cpp  hits=98 regions=56 tuples=450
  [348/386] SAME     wvec_float_store_leaf.cpp  hits=13 regions=6 tuples=30
  [349/386] SAME     wvec_float_store_leaf_data_bss_neg.cpp  hits=13 regions=6 tuples=30
  [350/386] SAME     wvec_inclass_ctor_folded_statics_neg.cpp  hits=15 regions=8 tuples=44
  [351/386] SAME     wvl_chain3.cpp  hits=30 regions=23 tuples=283
  [352/386] SAME     wvl_chain6_same.cpp  hits=30 regions=23 tuples=319
  [353/386] SAME     wvl_chain_neg.cpp  hits=121 regions=93 tuples=1061
  [354/386] SAME     wvl_chain_two_lengths.cpp  hits=60 regions=46 tuples=590
  [355/386] SAME     wvsnprnc_guard_chain_arity_store.cpp  hits=126 regions=105 tuples=2788
  [356/386] SAME     wvsnprnc_guard_chain_arity_store_neg.cpp  hits=270 regions=235 tuples=6936
  [357/386] SAME     wvsnprnc_lit_insert_tail.cpp  hits=75 regions=40 tuples=260
  [358/386] SAME     wvsnprnc_lit_insert_tail_neg.cpp  hits=105 regions=56 tuples=385
  [359/386] SAME     wwbss_static_neg.cpp  hits=30 regions=16 tuples=80
  [360/386] SAME     wwbss_three_neg.cpp  hits=45 regions=24 tuples=120
  [361/386] SAME     wwbss_tls_neg.cpp  hits=15 regions=8 tuples=40
  [362/386] SAME     wwbss_two.cpp  hits=30 regions=16 tuples=80
  [363/386] SAME     wwrap_gstore.cpp  hits=15 regions=8 tuples=40
  [364/386] SAME     wwrap_gstore_conv_neg.cpp  hits=15 regions=8 tuples=41
  [365/386] SAME     wwrap_gstore_float_neg.cpp  hits=15 regions=8 tuples=40
  [366/386] SAME     wwrap_gstore_gg_neg.cpp  hits=15 regions=8 tuples=46
  [367/386] SAME     wwrap_gstore_lit_neg.cpp  hits=15 regions=8 tuples=42
  [368/386] SAME     wwrap_gstore_second_neg.cpp  hits=15 regions=8 tuples=40
  [369/386] SAME     wwrap_gstore_sub_neg.cpp  hits=15 regions=8 tuples=43
  [370/386] SAME     wwrap_gstore_two_neg.cpp  hits=15 regions=8 tuples=48
  [371/386] SAME     wwrap_gstore_widths.cpp  hits=45 regions=24 tuples=120
  [372/386] SAME     wxlr_create_guard.cpp  hits=55 regions=48 tuples=1072
  [373/386] SAME     wxlr_create_guard_neg.cpp  hits=550 regions=480 tuples=10580
  [374/386] SAME     wxtea2_mcpy_rev_neg.cpp  hits=30 regions=16 tuples=96
  [375/386] SAME     wxtea2_mcpy_short_neg.cpp  hits=30 regions=16 tuples=122
  [376/386] SAME     wxtea2_mcpy_srcoff_neg.cpp  hits=30 regions=16 tuples=100
  [377/386] SAME     wxtea2_mcpy_stmt_neg.cpp  hits=30 regions=16 tuples=116
  [378/386] SAME     wxtea2_memcpy_tail.cpp  hits=60 regions=32 tuples=185
  [379/386] SAME     wxtea3_encrypt_loop.cpp  hits=75 regions=47 tuples=651
  [380/386] SAME     wxtea3_nobump_neg.cpp  hits=45 regions=31 tuples=518
  [381/386] SAME     wxtea3_nonce1_neg.cpp  hits=15 regions=8 tuples=48
  [382/386] SAME     wxtea3_nonce_run.cpp  hits=15 regions=8 tuples=60
  [383/386] SAME     wxtea3_nonce_u64_neg.cpp  hits=15 regions=8 tuples=56
  [384/386] SAME     wxtea3_nosum_neg.cpp  hits=23 regions=16 tuples=258
  [385/386] SAME     wxtea3_round_loop.cpp  hits=23 regions=16 tuples=320
  [386/386] SAME     wxtea3_shift6_neg.cpp  hits=23 regions=16 tuples=320

  gap-metric stage-tap-obj-differs 0
  gap-metric stage-tap-armed-and-fired 355
  gap-metric stage-tap-armed-nofire 29
  gap-metric stage-tap-unarmed 0
  gap-metric stage-tap-graded 384
  gap-metric stage-tap-errors 2
  gap-metric stage-tap-hits 50928
  gap-metric stage-sites-armed 3072
  gap-metric stage-sites-refused 0
  gap-metric stage-tap-walk-refusals 2

  G1 HOLDS over 355 objs ON WHICH THE TAP ARMED AND FIRED (3072 sites
  armed, 0 refused, 50928 detour hits inside c2's own code): the armed obj is
  byte-identical to the disarmed one. 29 further objs armed but never fired —
  c2 ran no per-function phase on them — and are EXCLUDED from that denominator,
  because byte-identity is free where no detour executed.
  2 TRUNCATED payload(s): every tuple count from this campaign is a
  FLOOR and not a measurement.
