# op      dec  mnemonic       base_word  form  arm
0x0209   521  vnor128       14000290    92  10bfa9f0
0x020a   522  vor           10000484    78  10bf9f91
0x020b   523  vor128        140002d0    92  10bfa9f0
0x020c   524  vperm         1000002b    82  10bf9fd1
0x020d   525  vperm128      14000000   103  10bfaadd
0x020e   526  vpermwi128    18000210    93  10bfaa7e
0x020f   527  vpkd3d128     18000610   107  10bfacee
0x0210   528  vpkpx         1000030e    78  10bf9f91
0x0211   529  vpkshss       1000018e    78  10bf9f91
0x0212   530  vpkshss128    14000200    92  10bfa9f0
0x0213   531  vpkshus       1000010e    78  10bf9f91
0x0214   532  vpkshus128    14000240    92  10bfa9f0
0x0215   533  vpkswss       100001ce    78  10bf9f91
0x0216   534  vpkswss128    14000280    92  10bfa9f0
0x0217   535  vpkswus       1000014e    78  10bf9f91
0x0218   536  vpkswus128    140002c0    92  10bfa9f0
0x0219   537  vpkuhum       1000000e    78  10bf9f91
0x021a   538  vpkuhum128    14000300    92  10bfa9f0
0x021b   539  vpkuhus       1000008e    78  10bf9f91
0x021c   540  vpkuhus128    14000340    92  10bfa9f0
0x021d   541  vpkuwum       1000004e    78  10bf9f91
0x021e   542  vpkuwum128    14000380    92  10bfa9f0
0x021f   543  vpkuwus       100000ce    78  10bf9f91
0x0220   544  vpkuwus128    140003c0    92  10bfa9f0
0x0221   545  vrefp         1000010a    80  10bfa082
0x0222   546  vrefp128      18000630    91  10bfa9bd
0x0223   547  vrfim         100002ca    80  10bfa082
0x0224   548  vrfim128      18000330    91  10bfa9bd
0x0225   549  vrfin         1000020a    80  10bfa082
0x0226   550  vrfin128      18000370    91  10bfa9bd
0x0227   551  vrfip         1000028a    80  10bfa082
0x0228   552  vrfip128      180003b0    91  10bfa9bd
0x0229   553  vrfiz         1000024a    80  10bfa082
0x022a   554  vrfiz128      180003f0    91  10bfa9bd
0x022b   555  vrlb          10000004    78  10bf9f91
0x022c   556  vrlh          10000044    78  10bf9f91
0x022d   557  vrlimi128     18000710    97  10bfabf0
0x022e   558  vrlw          10000084    78  10bf9f91
0x022f   559  vrlw128       18000050    92  10bfa9f0
0x0230   560  vrsqrtefp     1000014a    80  10bfa082
0x0231   561  vrsqrtefp128  18000670    91  10bfa9bd
0x0232   562  vsel          1000002a    82  10bf9fd1
0x0233   563  vsel128       14000350   104  10bfab48
0x0234   564  vsl           100001c4    78  10bf9f91
0x0235   565  vslb          10000104    78  10bf9f91
0x0236   566  vsldoi        1000002c    83  10bfa0f4
0x0237   567  vsldoi128     10000010   105  10bfac63
0x0238   568  vslh          10000144    78  10bf9f91
0x0239   569  vslo          1000040c    78  10bf9f91
0x023a   570  vslo128       14000390    92  10bfa9f0
0x023b   571  vslw          10000184    78  10bf9f91
0x023c   572  vslw128       180000d0    92  10bfa9f0
0x023d   573  vspltb        1000020c    79  10bfa015
0x023e   574  vsplth        1000024c    79  10bfa015
0x023f   575  vspltisb      1000030c    84  10bfa057
0x0240   576  vspltish      1000034c    84  10bfa057
0x0241   577  vspltisw      1000038c    84  10bfa057
0x0242   578  vspltisw128   18000770    99  10bfac3f
0x0243   579  vspltw        1000028c    79  10bfa015
0x0244   580  vspltw128     18000730    93  10bfaa7e
0x0245   581  vsr           100002c4    78  10bf9f91
0x0246   582  vsrab         10000304    78  10bf9f91
0x0247   583  vsrah         10000344    78  10bf9f91
0x0248   584  vsraw         10000384    78  10bf9f91
0x0249   585  vsraw128      18000150    92  10bfa9f0
0x024a   586  vsrb          10000204    78  10bf9f91
0x024b   587  vsrh          10000244    78  10bf9f91
0x024c   588  vsro          1000044c    78  10bf9f91
0x024d   589  vsro128       140003d0    92  10bfa9f0
0x024e   590  vsrw          10000284    78  10bf9f91
0x024f   591  vsrw128       180001d0    92  10bfa9f0
0x0250   592  vsubcuw       10000580    78  10bf9f91
0x0251   593  vsubfp        1000004a    78  10bf9f91
0x0252   594  vsubfp128     14000050    92  10bfa9f0
0x0253   595  vsubsbs       10000700    78  10bf9f91
0x0254   596  vsubshs       10000740    78  10bf9f91
0x0255   597  vsubsws       10000780    78  10bf9f91
0x0256   598  vsububm       10000400    78  10bf9f91
0x0257   599  vsububs       10000600    78  10bf9f91
0x0258   600  vsubuhm       10000440    78  10bf9f91
0x0259   601  vsubuhs       10000640    78  10bf9f91
0x025a   602  vsubuwm       10000480    78  10bf9f91
0x025b   603  vsubuws       10000680    78  10bf9f91
0x025c   604  vupkd3d128    180007f0   106  10bfaccd
0x025d   605  vupkhpx       1000034e    80  10bfa082
0x025e   606  vupkhsb       1000020e    80  10bfa082
0x025f   607  vupkhsb128    18000380    91  10bfa9bd
0x0260   608  vupkhsh       1000024e    80  10bfa082
0x0261   609  vupkhsh128    180007a0    91  10bfa9bd
0x0262   610  vupklpx       100003ce    80  10bfa082
0x0263   611  vupklsb       1000028e    80  10bfa082
0x0264   612  vupklsb128    180003c0    91  10bfa9bd
0x0265   613  vupklsh       100002ce    80  10bfa082
0x0266   614  vupklsh128    180007e0    91  10bfa9bd
0x0267   615  vxor          100004c4    78  10bf9f91
0x0268   616  vxor128       14000310    92  10bfa9f0
0x0269   617  xdcbt         7c00022c   111  10bfa8ae
0x026a   618  xor           7c000278    39  10bfa53b
0x026b   619  xor.          7c000279    39  10bfa53b
0x026c   620  xori          68000000    43  10bfa56b
0x026d   621  xoris         6c000000    43  10bfa56b
0x026e   622  rlandi        00000000     0  10bfae1b
0x026f   623  rlandi.       00000000     0  10bfae1b
0x0270   624  li            38000000    33  10bfa5a0
0x0271   625  lis           3c000000    33  10bfa5a0
0x0272   626  mr            7c000378    36  10bfa549
0x0273   627  mr.           7c000379    36  10bfa549
0x0274   628  not           7c0000f8    36  10bfa549
0x0275   629  not.          7c0000f9    36  10bfa549
0x0276   630  nop           60000000    37  10bfa1ad
0x0277   631  nopmthigh     7c000378    37  10bfa1ad
0x0278   632  nopmtmed      7c000378    37  10bfa1ad
0x0279   633  nopmtlow      7c000378    37  10bfa1ad
0x027a   634  nopstall      7c000378    37  10bfa1ad
0x027b   635  nopalign      7c000378    37  10bfa1ad
0x027c   636  nopvmxperm    18000210    37  10bfa1ad
0x027d   637  nopvmxsimp    10000484    37  10bfa1ad
0x027e   638  nopcapenter   7c000378    37  10bfa1ad
0x027f   639  nopcapexit    7c000378    37  10bfa1ad
0x0280   640  rsttoc        60000000    37  10bfa1ad
0x0281   641  lea           38000000    32  10bfa5b4
0x0282   642  lea           38000000    32  10bfa5b4
0x0283   643  loffs         38000000    34  10bfa646
0x0284   644  ret           4c000020    55  10bfa2a5
0x0285   645  blr           4c000020    55  10bfa2a5
0x0286   646  lau           3c000000    30  10bfa602
0x0287   647  lal           38000000    29  10bfa61e
0x0288   648  bdnz          40000000     1  10bfa2c2
0x0289   649  bdz           40000000     1  10bfa2c2
0x028a   650  bgip          48000001     2  10bfa26c
0x028b   651  bid           4c000020     3  10bfa2a5
0x028c   652  lcarry        7c000110    31  10bfa741
0x028d   653  lcarry.       7c000111    31  10bfa741
0x028e   654  rldtoc        60000000    37  10bfa1ad
0x028f   655  retaddr       60000000    37  10bfa1ad
0x0290   656  emit          00000000    18  10bfa846
0x0291   657  deadtmp       00000000     0  10bfae1b
0x0292   658  DCD           00000000    65  10bfa84e
0x0293   659  vmr           10000484    85  10bf9f5e
0x0294   660  vmr128        140002d0    86  10bfa902
