# spliced functions with a per-symbol relocation record: 723
#   no-relocs        723
# DISAGREEMENTS: 0
#
# verdict       port targets                 c2 targets                   TU :: symbol
no-relocs       (none)                       (none)                       src/system/char/CharBoneDir.cpp :: ??0?$_List_iterator@PAVRndTransformable@@U?$_Nonconst_traits@PAVRndTransformable@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharBoneDir.cpp :: ??0?$_List_iterator@UBone@CharBones@@U?$_Nonconst_traits@UBone@CharBones@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharBoneDir.cpp :: ??0?$_List_iterator@VString@@U?$_Const_traits@VString@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharBoneDir.cpp :: ??0?$_List_iterator@VString@@U?$_Nonconst_traits@VString@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharBoneOffset.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharBoneTwist.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharBones.cpp :: ??0?$_List_iterator@UBone@CharBones@@U?$_Const_traits@UBone@CharBones@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharBones.cpp :: ??0?$_List_iterator@UBone@CharBones@@U?$_Nonconst_traits@UBone@CharBones@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharBones.cpp :: ??0?$_List_iterator@VString@@U?$_Nonconst_traits@VString@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharBonesBlender.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharBonesMeshes.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharBonesSamples.cpp :: ??0?$_List_iterator@VString@@U?$_Nonconst_traits@VString@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharBonesSamples.cpp :: ?front@?$vector@V?$Key@M@@V?$StlNodeAlloc@V?$Key@M@@@stlpmtx_std@@@stlpmtx_std@@QBAABV?$Key@M@@XZ
no-relocs       (none)                       (none)                       src/system/char/CharClip.cpp :: ??0?$_List_iterator@UBone@CharBones@@U?$_Nonconst_traits@UBone@CharBones@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharClip.cpp :: ?front@?$vector@V?$Key@M@@V?$StlNodeAlloc@V?$Key@M@@@stlpmtx_std@@@stlpmtx_std@@QBAABV?$Key@M@@XZ
no-relocs       (none)                       (none)                       src/system/char/CharClipDisplay.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Const_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharClipDisplay.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Nonconst_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharClipDisplay.cpp :: ?front@?$vector@V?$Key@M@@V?$StlNodeAlloc@V?$Key@M@@@stlpmtx_std@@@stlpmtx_std@@QBAABV?$Key@M@@XZ
no-relocs       (none)                       (none)                       src/system/char/CharClipDriver.cpp :: ?front@?$vector@V?$Key@M@@V?$StlNodeAlloc@V?$Key@M@@@stlpmtx_std@@@stlpmtx_std@@QBAABV?$Key@M@@XZ
no-relocs       (none)                       (none)                       src/system/char/CharClipGroup.cpp :: ?front@?$vector@UNode@?$ObjPtrVec@VCharClip@@VObjectDir@@@@V?$StlNodeAlloc@UNode@?$ObjPtrVec@VCharClip@@VObjectDir@@@@@stlpmtx_std@@@stlpmtx_std@@QAAAAUNode@?$ObjPtrVec@VCharClip@@VObjectDir@@@@XZ
no-relocs       (none)                       (none)                       src/system/char/CharClipGroup.cpp :: ?front@?$vector@UNode@?$ObjPtrVec@VCharClip@@VObjectDir@@@@V?$StlNodeAlloc@UNode@?$ObjPtrVec@VCharClip@@VObjectDir@@@@@stlpmtx_std@@@stlpmtx_std@@QBAABUNode@?$ObjPtrVec@VCharClip@@VObjectDir@@@@XZ
no-relocs       (none)                       (none)                       src/system/char/CharClipSet.cpp :: ??0?$_List_iterator@PAVCharClip@@U?$_Const_traits@PAVCharClip@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharClipSet.cpp :: ??0?$_List_iterator@PAVCharClip@@U?$_Nonconst_traits@PAVCharClip@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharClipSet.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Const_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharClipSet.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Nonconst_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharClipSet.cpp :: ??0?$_List_iterator@PAVRndDrawable@@U?$_Nonconst_traits@PAVRndDrawable@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharClipSet.cpp :: ?front@?$vector@V?$Key@M@@V?$StlNodeAlloc@V?$Key@M@@@stlpmtx_std@@@stlpmtx_std@@QBAABV?$Key@M@@XZ
no-relocs       (none)                       (none)                       src/system/char/CharDriver.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Const_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharDriver.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharDriver.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Const_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharDriver.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Nonconst_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharDriver.cpp :: ??0?$_List_iterator@VString@@U?$_Nonconst_traits@VString@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharDriver.cpp :: ??0?$_Rb_tree_iterator@U?$pair@QAVCharClip@@M@stlpmtx_std@@U?$_ConstMapTraitsT@U?$pair@QAVCharClip@@M@stlpmtx_std@@@priv@2@@stlpmtx_std@@QAA@XZ
no-relocs       (none)                       (none)                       src/system/char/CharDriver.cpp :: ??0?$_Rb_tree_iterator@U?$pair@QAVCharClip@@M@stlpmtx_std@@U?$_MapTraitsT@U?$pair@QAVCharClip@@M@stlpmtx_std@@@priv@2@@stlpmtx_std@@QAA@XZ
no-relocs       (none)                       (none)                       src/system/char/CharDriver.cpp :: ?front@?$vector@V?$Key@M@@V?$StlNodeAlloc@V?$Key@M@@@stlpmtx_std@@@stlpmtx_std@@QBAABV?$Key@M@@XZ
no-relocs       (none)                       (none)                       src/system/char/CharEyes.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharEyes.cpp :: ??0?$_List_iterator@PAVRndPollable@@U?$_Nonconst_traits@PAVRndPollable@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharFaceServo.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Const_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharFaceServo.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Nonconst_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharFaceServo.cpp :: ??0?$_List_iterator@VString@@U?$_Nonconst_traits@VString@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharFaceServo.cpp :: ?front@?$vector@V?$Key@M@@V?$StlNodeAlloc@V?$Key@M@@@stlpmtx_std@@@stlpmtx_std@@QBAABV?$Key@M@@XZ
no-relocs       (none)                       (none)                       src/system/char/CharForeTwist.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharGuitarString.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharHair.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharHair.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Const_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharHair.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Nonconst_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharHair.cpp :: ??0?$_List_iterator@PAVRndTransformable@@U?$_Const_traits@PAVRndTransformable@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharIKFingers.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharIKHand.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharIKHand.cpp :: ?front@?$vector@UIKTarget@CharIKHand@@V?$StlNodeAlloc@UIKTarget@CharIKHand@@@stlpmtx_std@@@stlpmtx_std@@QAAAAUIKTarget@CharIKHand@@XZ
no-relocs       (none)                       (none)                       src/system/char/CharIKHead.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharIKMidi.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharIKMidi.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Const_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharIKMidi.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Nonconst_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharIKRod.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharIKScale.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharIKSliderMidi.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharInterest.cpp :: ??0?$_List_iterator@VString@@U?$_Nonconst_traits@VString@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharLipSyncDriver.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharLipSyncDriver.cpp :: ?front@?$vector@V?$Key@M@@V?$StlNodeAlloc@V?$Key@M@@@stlpmtx_std@@@stlpmtx_std@@QBAABV?$Key@M@@XZ
no-relocs       (none)                       (none)                       src/system/char/CharLookAt.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharLookAt.cpp :: ??0?$_List_iterator@VString@@U?$_Nonconst_traits@VString@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharMirror.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharMirror.cpp :: ??0?$_List_iterator@UBone@CharBones@@U?$_Nonconst_traits@UBone@CharBones@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharNeckTwist.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharPollGroup.cpp :: ??0?$_List_iterator@PAUDep@CharPollableSorter@@U?$_Const_traits@PAUDep@CharPollableSorter@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharPollGroup.cpp :: ??0?$_List_iterator@PAUDep@CharPollableSorter@@U?$_Nonconst_traits@PAUDep@CharPollableSorter@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharPollGroup.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Const_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharPollGroup.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharPollGroup.cpp :: ??0?$_List_iterator@PAVRndPollable@@U?$_Nonconst_traits@PAVRndPollable@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharPosConstraint.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharServoBone.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharServoBone.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Const_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharServoBone.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Nonconst_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharSignalApplier.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharSleeve.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharUpperTwist.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharUtl.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Const_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharUtl.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Nonconst_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharWeightSetter.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/Character.cpp :: ??0?$_List_iterator@PAUDep@CharPollableSorter@@U?$_Const_traits@PAUDep@CharPollableSorter@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/Character.cpp :: ??0?$_List_iterator@PAUDep@CharPollableSorter@@U?$_Nonconst_traits@PAUDep@CharPollableSorter@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/Character.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Const_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/Character.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/Character.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Const_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/Character.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Nonconst_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharacterTest.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Const_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharacterTest.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Nonconst_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/ClipCollide.cpp :: ??0?$_List_iterator@PAVCharClip@@U?$_Const_traits@PAVCharClip@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/ClipCollide.cpp :: ??0?$_List_iterator@PAVCharClip@@U?$_Nonconst_traits@PAVCharClip@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/ClipCollide.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Const_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/ClipCollide.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Nonconst_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/ClipCollide.cpp :: ??0?$_List_iterator@PAVWaypoint@@U?$_Const_traits@PAVWaypoint@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/ClipCollide.cpp :: ??0?$_List_iterator@PAVWaypoint@@U?$_Nonconst_traits@PAVWaypoint@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/ClipCollide.cpp :: ?front@?$vector@V?$Key@M@@V?$StlNodeAlloc@V?$Key@M@@@stlpmtx_std@@@stlpmtx_std@@QBAABV?$Key@M@@XZ
no-relocs       (none)                       (none)                       src/system/char/ClipDistMap.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Const_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/ClipDistMap.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Nonconst_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/ClipDistMap.cpp :: ?front@?$vector@V?$Key@M@@V?$StlNodeAlloc@V?$Key@M@@@stlpmtx_std@@@stlpmtx_std@@QBAABV?$Key@M@@XZ
no-relocs       (none)                       (none)                       src/system/char/FileMerger.cpp :: ??0?$_List_iterator@PAUMerger@FileMerger@@U?$_Nonconst_traits@PAUMerger@FileMerger@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/FileMergerOrganizer.cpp :: ??0?$_List_iterator@PAUMerger@FileMerger@@U?$_Nonconst_traits@PAUMerger@FileMerger@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/FileMergerOrganizer.cpp :: ??0?$_List_iterator@UOrganizedFileMerger@FileMergerOrganizer@@U?$_Nonconst_traits@UOrganizedFileMerger@FileMergerOrganizer@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/Waypoint.cpp :: ??0?$_List_iterator@P6AXXZU?$_Nonconst_traits@P6AXXZ@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/Waypoint.cpp :: ??0?$_List_iterator@PAVWaypoint@@U?$_Nonconst_traits@PAVWaypoint@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/flow/DrivenPropertyMathOps.cpp :: ??0?$_List_iterator@VString@@U?$_Nonconst_traits@VString@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/flow/Flow.cpp :: ??0?$_List_iterator@UPropTriggerDefn@FlowTrigger@@U?$_Const_traits@UPropTriggerDefn@FlowTrigger@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/flow/Flow.cpp :: ??0?$_List_iterator@UPropTriggerDefn@FlowTrigger@@U?$_Nonconst_traits@UPropTriggerDefn@FlowTrigger@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/flow/Flow.cpp :: ??0?$_List_iterator@VSymbol@@U?$_Const_traits@VSymbol@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/flow/Flow.cpp :: ??0?$_List_iterator@VSymbol@@U?$_Nonconst_traits@VSymbol@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/flow/FlowAnimate.cpp :: ??0?$_List_iterator@VString@@U?$_Nonconst_traits@VString@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/flow/FlowCommand.cpp :: ??0?$_List_iterator@VDataNode@@U?$_Nonconst_traits@VDataNode@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/flow/FlowCommand.cpp :: ??0?$_List_iterator@VSymbol@@U?$_Nonconst_traits@VSymbol@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/flow/FlowEventListener.cpp :: ??0?$_List_iterator@VSymbol@@U?$_Nonconst_traits@VSymbol@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/flow/FlowPickOne.cpp :: ??0?$_List_iterator@VString@@U?$_Nonconst_traits@VString@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/flow/FlowQueueable.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Const_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
