key	off	ptr4	any	rel	joint
expr-call-in-expr-recv-object-then-call-chained-and-branch-more	2	2	2	2	2
expr-call-in-expr-recv-object-then-call-data-addr-and-chain-bind-more	2	2	2	2	2
expr-call-in-expr-recv-object-then-call-recv-intrinsic-this-adjust-and-off-add-more	2	2	2	2	2
expr-call-in-expr-recv-object-then-call-recv-load-and-deref-load-more	2	2	2	2	2
expr-call-in-expr-recv-object-then-call-recv-load-and-plumbing-more	2	2	2	2	2
expr-call-in-expr-recv-object-then-call-recv-load-and-temp-bind-more	2	2	2	2	2
expr-call-in-expr-recv-object-then-cmp-ge-and-branch-more	2	2	2	2	2
expr-call-in-expr-recv-object-then-off-add-and-chain-bind-more	2	2	2	2	2
expr-call-in-expr-recv-object-then-off-add-and-type-real-more	2	2	2	2	2
expr-call-in-expr-recv-object-then-ternary	2	2	2	2	2
expr-call-in-expr-recv-object-then-type-int1-and-op-more	2	2	3	2	2
expr-call-in-expr-recv-object-then-type-real-and-op-more	2	2	2	2	2
expr-call-in-expr-recv-object-then-type-real-lit-and-type-real-more	2	2	2	2	2
expr-intrinsic-call	2	2	2	2	2
expr-lit-type-A64A	2	2	2	2	2
expr-op-0x36	2	2	2	2	2
call-arg-lit-permuted:mid	1	1	1	1	1
call-arg-lit-wide:eof	1	1	1	1	1
call-arg-outer-formal:eof	1	1	1	1	1
call-bound-store-0x30	1	1	1	1	1
call-bound-store-0x88	1	1	1	1	1
call-postop-cflow-brfalse	1	1	1	1	1
call-postop-op-0x33	1	1	1	1	1
call-token-0x33	1	1	1	1	1
call-token-0x9B	1	1	1	1	1
callseq-postop-op-0x27	1	1	1	1	1
expr-call-in-expr-chained-then-bit-and-and-branch-more	1	1	1	1	1
expr-call-in-expr-chained-then-call-recv-deref-and-op-more	1	1	1	1	1
expr-call-in-expr-chained-then-call-recv-field-and-deref-load-more	1	1	1	1	1
expr-call-in-expr-chained-then-call-recv-load-and-deref-load-more	1	1	1	1	1
expr-call-in-expr-chained-then-call-recv-load-and-op-more	1	1	1	1	1
expr-call-in-expr-chained-then-call-recv-load-whole	1	1	1	1	1
expr-call-in-expr-chained-then-chain-bind-and-op-more	1	1	1	1	1
expr-call-in-expr-chained-then-chain-bind-whole	1	1	1	1	1
expr-call-in-expr-chained-then-cmp-le-and-branch-more	1	1	1	1	1
expr-call-in-expr-chained-then-cmp-ne-and-type-int1-more	1	1	1	1	1
expr-call-in-expr-chained-then-off-add-and-call-more	1	1	1	1	1
expr-call-in-expr-chained-then-plain-call-and-temp-bind-more	1	1	1	1	1
expr-call-in-expr-chained-then-type-int1-and-branch-more	1	1	1	1	1
expr-call-in-expr-chained-then-type-int1-and-op-more	1	1	1	1	1
expr-call-in-expr-chained-then-type-real-and-call-more	1	1	1	1	1
expr-call-in-expr-chained-then-type-real-more	1	1	1	1	1
expr-call-in-expr-data-addr-then-branch-brfalse	1	1	1	1	1
expr-call-in-expr-data-addr-then-chain-bind-and-type-real-lit-whole3	1	1	1	1	1
expr-call-in-expr-data-addr-then-intrinsic-call	1	1	1	1	1
expr-call-in-expr-data-addr-then-off-add-and-deref-load-more	1	1	1	1	1
expr-call-in-expr-data-addr-then-plain-call-and-plumbing-more	1	1	1	1	1
expr-call-in-expr-data-addr-whole	1	1	1	1	1
expr-call-in-expr-data-read-then-bit-and-and-op-more	1	1	1	1	1
expr-call-in-expr-data-read-then-plain-call-and-call-more	1	1	1	1	1
expr-call-in-expr-data-read-then-type-real-and-off-add-more	1	1	1	1	1
expr-call-in-expr-nested-call-then-call-data-addr-and-off-add-more	1	1	1	1	1
expr-call-in-expr-nested-call-then-call-nested-call-and-virtual-more	1	1	1	1	1
expr-call-in-expr-op-0x09	1	1	1	1	1
expr-call-in-expr-op-0x1F	1	1	1	53	53
expr-call-in-expr-op-0x21	1	1	1	1	1
expr-call-in-expr-op-0x59	1	1	1	1	1
expr-call-in-expr-recv-deref-then-call-op-0x59	1	1	1	1	1
expr-call-in-expr-recv-deref-then-call-recv-intrinsic-this-adjust-and-op-more	1	1	1	1	1
expr-call-in-expr-recv-deref-then-call-recv-load-and-branch-more	1	1	1	1	1
expr-call-in-expr-recv-deref-then-call-recv-load-and-off-add-more	1	1	1	1	1
expr-call-in-expr-recv-deref-then-call-recv-load-and-type-int1-more	1	1	1	1	1
expr-call-in-expr-recv-deref-then-call-recv-object-and-call-more	1	1	1	1	1
expr-call-in-expr-recv-deref-then-call-recv-object-and-off-add-more	1	1	1	1	1
expr-call-in-expr-recv-deref-then-cmp-ge-and-branch-more	1	1	1	1	1
expr-call-in-expr-recv-deref-then-cmp-gt-and-branch-more	1	1	1	1	1
expr-call-in-expr-recv-deref-then-off-add-and-deref-load-more	1	1	1	1	1
expr-call-in-expr-recv-deref-then-type-int1-and-branch-more	1	1	1	1	1
expr-call-in-expr-recv-deref-then-type-int1-more	1	1	1	1	1
expr-call-in-expr-recv-deref-then-type-real-and-type-real-lit-more	1	1	1	1	1
expr-call-in-expr-recv-deref-then-type-real-more	1	1	1	1	1
expr-call-in-expr-recv-deref-then-virtual	1	1	1	1	1
expr-call-in-expr-recv-field-off0-then-op-0x29	1	1	1	1	1
expr-call-in-expr-recv-field-off0-then-type-int1-and-branch-more	1	1	1	1	1
expr-call-in-expr-recv-field-off0-then-type-int1-and-off-add-more	1	1	1	1	1
expr-call-in-expr-recv-field-then-branch-brtrue	1	1	1	1	1
expr-call-in-expr-recv-field-then-call-data-read-more	1	1	1	1	1
expr-call-in-expr-recv-field-then-call-nested-call-and-off-add-more	1	1	1	1	1
expr-call-in-expr-recv-field-then-call-nested-call-and-op-more	1	1	1	1	1
expr-call-in-expr-recv-field-then-call-nested-call-and-type-real-more	1	1	1	1	1
expr-call-in-expr-recv-field-then-call-nested-call-whole	1	1	1	1	1
expr-call-in-expr-recv-field-then-call-op-0x1F	1	1	1	1	1
expr-call-in-expr-recv-field-then-call-op-0x5C	1	1	1	1	1
expr-call-in-expr-recv-field-then-call-op-0x64	1	1	1	1	1
expr-call-in-expr-recv-field-then-call-recv-intrinsic-this-adjust-and-off-add-more	1	1	1	1	1
expr-call-in-expr-recv-field-then-call-recv-load-and-call-more	1	1	1	1	1
expr-call-in-expr-recv-field-then-call-recv-object-and-call-more	1	1	1	1	1
expr-call-in-expr-recv-field-then-call-recv-object-and-op-more	1	1	1	1	1
expr-call-in-expr-recv-field-then-call-recv-object-and-type-int1-more	1	1	1	1	1
expr-call-in-expr-recv-field-then-chain-bind-and-plumbing-more	1	1	1	1	1
expr-call-in-expr-recv-field-then-cmp-eq-and-off-add-more	1	1	1	1	1
expr-call-in-expr-recv-field-then-cmp-ge-and-off-add-more	1	1	1	1	1
expr-call-in-expr-recv-field-then-deref-load-and-call-more	1	1	1	1	1
expr-call-in-expr-recv-field-then-deref-load-and-op-more	1	1	1	1	1
expr-call-in-expr-recv-field-then-intrinsic-call	1	1	1	1	1
expr-call-in-expr-recv-field-then-off-add-and-type-int1-whole3	1	1	1	1	1
expr-call-in-expr-recv-field-then-op-0x0F	1	1	1	1	1
expr-call-in-expr-recv-field-then-op-0x33	1	1	1	1	1
expr-call-in-expr-recv-field-then-shr-and-op-more	1	1	1	1	1
expr-call-in-expr-recv-field-then-type-aggregate-more	1	1	1	1	1
expr-call-in-expr-recv-field-then-type-real-and-branch-more	1	1	1	1	1
expr-call-in-expr-recv-field-then-type-real-and-call-more	1	1	1	1	1
expr-call-in-expr-recv-field-then-type-real-and-off-add-more	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-base-member-addr-then-cmp-eq-and-branch-more	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-base-member-addr-then-cmp-lt-and-branch-more	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-data-addr-more	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-nested-call-and-branch-more	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-nested-call-and-op-more	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-nested-call-whole	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-op-0x38	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-recv-field-and-call-more	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-recv-intrinsic-this-adjust-more	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-recv-load-and-branch-more	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-chain-bind-and-deref-load-more	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-cmp-eq-and-branch-more	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-cmp-gt-and-branch-more	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-cmp-lt-and-branch-more	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-cmp-ne-and-op-more	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-deref-load-more	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-off-add-and-call-more	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-op-0x3C	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-op-0x44	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-op-0x48	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-op-0x80	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-temp-bind	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-type-int1-and-branch-more	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-type-int1-and-op-more	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-type-int8-and-call-more	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-type-real-and-call-more	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-type-real-and-off-add-more	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-type-real-and-type-int1-more	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-type-real-more	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-vbase-upcast-then-cmp-ne-and-branch-more	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-vbase-upcast-then-temp-bind	1	1	1	1	1
expr-call-in-expr-recv-intrinsic-vbase-upcast-then-type-int1-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-bit-and-and-type-int8-whole3	1	1	1	1	1
expr-call-in-expr-recv-load-then-bit-and-and-type-real-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-bit-or-and-op-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-bit-xor-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-chained-and-branch-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-chained-and-call-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-chained-and-op-whole3	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-chained-and-plumbing-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-chained-and-type-int1-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-data-addr-1sym-and-type-int1-whole2	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-data-addr-2sym-and-op-whole3	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-data-addr-2sym-and-type-int1-whole2	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-data-addr-2sym-whole	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-data-addr-and-temp-bind-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-data-read-and-op-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-nested-call-and-branch-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-nested-call-and-temp-bind-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-nested-call-and-type-int1-whole2	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-nested-call-whole	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-op-0x1C	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-op-0x1F	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-op-0x22	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-op-0x38	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-recv-deref-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-recv-intrinsic-base-member-addr-and-deref-load-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-recv-intrinsic-base-member-addr-and-plumbing-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-recv-intrinsic-this-adjust-and-type-real-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-recv-intrinsic-this-adjust-whole	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-recv-intrinsic-vbase-upcast-and-op-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-recv-load-and-chain-bind-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-recv-load-and-type-int1-whole2	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-recv-object-and-deref-load-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-recv-object-and-off-add-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-recv-object-and-plumbing-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-call-recv-object-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-chain-bind-and-deref-load-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-cmp-gt-and-type-real-lit-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-cmp-lt-and-type-int1-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-cmp-ne-and-op-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-int1u-misuse	1	1	1	1	1
expr-call-in-expr-recv-load-then-off-add-and-deref-load-whole3	1	1	1	1	1
expr-call-in-expr-recv-load-then-off-add-and-type-int1-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-off-add-and-type-int2-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-off-add-and-virtual-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-op-0x12	1	1	1	1	1
expr-call-in-expr-recv-load-then-or-or	1	1	1	1	1
expr-call-in-expr-recv-load-then-ternary	1	1	1	1	1
expr-call-in-expr-recv-load-then-type-int1-and-plumbing-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-type-int1-and-type-real-lit-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-type-int2-and-temp-bind-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-type-int2-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-type-real-and-op-whole3	1	1	1	1	1
expr-call-in-expr-recv-load-then-type-real-and-virtual-more	1	1	1	1	1
expr-call-in-expr-recv-load-then-type-real-lit-and-op-whole3	1	1	1	1	1
expr-call-in-expr-recv-object-then-call-chained-and-op-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-call-data-addr-1sym-whole	1	1	1	1	1
expr-call-in-expr-recv-object-then-call-data-addr-and-off-add-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-call-data-addr-and-plain-call-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-call-data-addr-and-type-aggregate-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-call-data-addr-and-type-int1-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-call-nested-call-and-chain-bind-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-call-nested-call-and-off-add-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-call-nested-call-and-plumbing-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-call-nested-call-and-type-real-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-call-op-0x05	1	1	1	1	1
expr-call-in-expr-recv-object-then-call-op-0x08	1	1	1	1	1
expr-call-in-expr-recv-object-then-call-recv-field-and-op-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-call-recv-intrinsic-this-adjust-and-call-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-call-recv-intrinsic-this-adjust-and-op-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-call-recv-intrinsic-this-adjust-and-type-int1-whole2	1	1	1	1	1
expr-call-in-expr-recv-object-then-call-recv-intrinsic-this-adjust-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-call-recv-object-and-temp-bind-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-call-recv-object-and-type-int1-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-chain-bind-and-op-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-cmp-gt-and-branch-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-convert	1	1	1	1	1
expr-call-in-expr-recv-object-then-not	1	1	1	1	1
expr-call-in-expr-recv-object-then-off-add-and-deref-load-whole4	1	1	1	1	1
expr-call-in-expr-recv-object-then-off-add-and-op-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-off-add-and-type-aggregate-whole2	1	1	1	1	1
expr-call-in-expr-recv-object-then-off-add-and-type-real-lit-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-op-0x05	1	1	1	1	1
expr-call-in-expr-recv-object-then-op-0x3B	1	1	1	1	1
expr-call-in-expr-recv-object-then-type-real-and-branch-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-type-real-and-call-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-type-real-and-plain-call-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-type-real-and-plumbing-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-type-real-and-type-real-lit-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-type-real-lit-and-off-add-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-type-real-lit-and-type-real-whole4	1	1	1	1	1
expr-call-in-expr-recv-object-then-type-real-more	1	1	1	1	1
expr-call-in-expr-recv-object-then-type-real-whole	1	1	1	1	1
expr-convert-target-8645	1	1	1	1	1
expr-convert-target-8885	1	1	1	1	1
expr-intrinsic-0x848	1	1	1	1	1
expr-intrinsic-__frsqrte	1	1	1	1	1
expr-intrinsic-memcmp	1	1	1	1	1
expr-intrinsic-vbase-member-addr	1	1	1	1	1
expr-lit-type-8421	1	1	1	1	1
expr-lit-type-8881	1	1	1	1	1
expr-lit-type-9641	1	1	1	1	1
expr-load-type-8421	1	1	1	1	1
expr-load-type-A645	1	1	1	1	1
expr-op-0x10	1	37	37	1	37
expr-shr-sign-late:mid	1	1	1	1	1
mcall-framed-args:eof	1	1	1	1	1
result-type-0x33	1	1	1	1	1
result-type-0x41	1	1	2	1	1
assign-ret-nonformal:eof	0	1	1	0	1
expr-and-and	0	0	0	4	4
expr-call-in-expr-chained-then-type-int1-and-call-more	0	0	1	0	0
expr-call-in-expr-op-0x0F	0	1	1	0	1
expr-call-in-expr-recv-field-off0-then-type-int1-and-plumbing-more	0	0	1	0	0
expr-call-in-expr-recv-field-then-cmp-lt-and-op-more	0	0	0	1	1
expr-call-in-expr-recv-field-then-type-int1-and-plumbing-more	0	0	3	0	0
expr-call-in-expr-recv-intrinsic-this-adjust-then-type-int1-and-off-add-more	0	0	2	0	0
expr-call-in-expr-recv-load-then-call-chained-and-type-real-more	0	1	1	0	1
expr-call-in-expr-recv-load-then-call-nested-call-and-type-aggregate-more	0	1	1	0	1
expr-call-in-expr-recv-load-then-type-int1-and-deref-load-more	0	0	3	0	0
expr-call-in-expr-recv-load-then-type-int1-and-type-aggregate-more	0	0	2	0	0
expr-call-in-expr-recv-load-then-type-int1-and-type-real-more	0	0	1	0	0
expr-call-in-expr-recv-object-then-type-int1-and-call-more	0	0	5	0	0
expr-call-in-expr-recv-object-then-type-int1-and-off-add-more	0	0	1	0	0
expr-call-in-expr-recv-object-then-type-int1-and-type-real-lit-whole3	0	0	1	0	0
expr-convert-target-8212	0	0	0	3	4
expr-op-0x60	0	886	886	0	886
expr-or-or	0	0	0	5	5
expr-rel-sink-poison:mid	0	0	0	6	6
