# w-joint3 (2026-08-24) -- CENSUS KEY POPULATIONS, the cheap half of board #3509.
#
# HANDOFF, not a work order. Board #3509 records that Phase 1's ten constructs
# have never been mapped to census keys -- ROADMAP_SLICING_2026-08-21.md section 3
# gives an opcode for THREE of TEN -- so "can Phase 1 convert a TU" is not
# decidable from any measurement in this tree. That read is ~0.5-1 day and this
# lane declined to take it rather than guess the mapping (decision 10's lesson).
# This file is its CHEAP HALF, delivered so the read starts from counted
# populations instead of from nothing.
#
# SORTED BY KEY NAME, DELIBERATELY. Sorting by mass would make this a ranking,
# and the rule against dispatching off a blocked-key size ranking has bound five
# times (#3505). Every number here is a FIRST-BLOCKER count: #3131 -- the port
# stops at the first refusal by design, so each body reports one key however many
# it has, and NONE of these columns is a distance or a reach.
#
# blocked_bodies : first-blocker count over the census route (4C 4F 11 splitter)
# tus            : distinct TUs in which the key appears at all
# emit_blockers  : the same key on the emitted-symbol-bound population, for
#                  scale only -- a DIFFERENT denominator, never summed with the first
#
# corpus  ../dc3-decomp 15a64d92f197+42949672950+42949672950 (clean)
# scan    c2rs 77dc81022 / binary b2241a63a00e / 878 TU rows
# totals  1710066 blocked bodies over 785 distinct keys; denominator 2,417,794 slots
#
key	blocked_bodies	tus	emit_blockers
expr-call-in-expr-recv-intrinsic-this-adjust-then-deref-load-more	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-intrinsic-call	4323	807	827
expr-call-in-expr-recv-intrinsic-this-adjust-then-off-add-and-call-more	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-off-add-and-deref-load-more	8	8	3
expr-call-in-expr-recv-intrinsic-this-adjust-then-off-add-and-op-more	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-off-add-more	99	85	30
expr-call-in-expr-recv-intrinsic-this-adjust-then-op-0x08	233	226	0
expr-call-in-expr-recv-intrinsic-this-adjust-then-op-0x14	13	13	0
expr-call-in-expr-recv-intrinsic-this-adjust-then-op-0x29	2	2	2
expr-call-in-expr-recv-intrinsic-this-adjust-then-op-0x3C	25	25	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-op-0x44	6	6	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-op-0x48	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-op-0x80	580	470	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-plumbing-0x3A	2273	825	40
expr-call-in-expr-recv-intrinsic-this-adjust-then-temp-bind	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-type-aggregate-more	3	3	3
expr-call-in-expr-recv-intrinsic-this-adjust-then-type-int1-and-branch-more	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-type-int1-and-op-more	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-type-int1-more	14	2	14
expr-call-in-expr-recv-intrinsic-this-adjust-then-type-int8-and-call-more	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-type-real-and-call-more	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-type-real-and-off-add-more	2	2	0
expr-call-in-expr-recv-intrinsic-this-adjust-then-type-real-and-type-int1-more	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-type-real-and-type-real-lit-more	4	4	4
expr-call-in-expr-recv-intrinsic-this-adjust-then-type-real-more	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-whole	831	825	70
expr-call-in-expr-recv-intrinsic-vbase-upcast-then-branch-brfalse	3	3	3
expr-call-in-expr-recv-intrinsic-vbase-upcast-then-call-nested-call-and-type-real-more	1	1	0
expr-call-in-expr-recv-intrinsic-vbase-upcast-then-call-op-0x64	4	4	4
expr-call-in-expr-recv-intrinsic-vbase-upcast-then-cmp-ne-and-branch-more	1	1	1
expr-call-in-expr-recv-intrinsic-vbase-upcast-then-temp-bind	1	1	1
expr-call-in-expr-recv-intrinsic-vbase-upcast-then-type-int1-more	1	1	1
expr-call-in-expr-recv-load-then-bit-and-and-branch-more	101972	832	4286
expr-call-in-expr-recv-load-then-bit-and-and-call-more	2	1	2
expr-call-in-expr-recv-load-then-bit-and-and-op-more	2	2	2
expr-call-in-expr-recv-load-then-bit-and-and-type-int8-whole3	1	1	1
expr-call-in-expr-recv-load-then-bit-and-and-type-real-more	1	1	1
expr-call-in-expr-recv-load-then-bit-or-and-op-more	1	1	1
expr-call-in-expr-recv-load-then-bit-xor-more	1	1	1
expr-call-in-expr-recv-load-then-branch-brfalse	1986	365	453
expr-call-in-expr-recv-load-then-branch-brtrue	1693	825	184
expr-call-in-expr-recv-load-then-call-chained-and-branch-more	1	1	1
expr-call-in-expr-recv-load-then-call-chained-and-call-more	1	1	1
expr-call-in-expr-recv-load-then-call-chained-and-deref-load-more	8	5	7
expr-call-in-expr-recv-load-then-call-chained-and-op-more	7	5	7
expr-call-in-expr-recv-load-then-call-chained-and-op-whole3	1	1	1
expr-call-in-expr-recv-load-then-call-chained-and-plumbing-more	1	1	1
expr-call-in-expr-recv-load-then-call-chained-and-temp-bind-more	1	1	1
expr-call-in-expr-recv-load-then-call-chained-and-type-int1-more	1	1	1
expr-call-in-expr-recv-load-then-call-chained-more	6	5	6
expr-call-in-expr-recv-load-then-call-data-addr-1sym-and-type-int1-whole2	1	1	1
expr-call-in-expr-recv-load-then-call-data-addr-1sym-whole	9696	808	496
expr-call-in-expr-recv-load-then-call-data-addr-2sym-and-op-whole3	1	1	1
expr-call-in-expr-recv-load-then-call-data-addr-2sym-and-type-int1-whole2	1	1	1
expr-call-in-expr-recv-load-then-call-data-addr-2sym-whole	693	693	30
expr-call-in-expr-recv-load-then-call-data-addr-and-branch-more	5	4	5
expr-call-in-expr-recv-load-then-call-data-addr-and-call-more	295	154	295
expr-call-in-expr-recv-load-then-call-data-addr-and-deref-load-more	4243	808	438
expr-call-in-expr-recv-load-then-call-data-addr-and-off-add-more	9	8	9
expr-call-in-expr-recv-load-then-call-data-addr-and-op-more	1	1	1
expr-call-in-expr-recv-load-then-call-data-addr-and-temp-bind-more	1	1	1
expr-call-in-expr-recv-load-then-call-data-addr-and-type-int1-more	2	2	2
expr-call-in-expr-recv-load-then-call-data-addr-and-type-real-more	24	13	24
expr-call-in-expr-recv-load-then-call-data-read-and-op-more	1	1	1
expr-call-in-expr-recv-load-then-call-nested-call-and-branch-more	2	2	2
expr-call-in-expr-recv-load-then-call-nested-call-and-call-more	1408	695	38
expr-call-in-expr-recv-load-then-call-nested-call-and-deref-load-more	2982	705	38
expr-call-in-expr-recv-load-then-call-nested-call-and-op-more	18	8	18
expr-call-in-expr-recv-load-then-call-nested-call-and-temp-bind-more	1	1	1
expr-call-in-expr-recv-load-then-call-nested-call-and-type-int1-more	5	5	5
expr-call-in-expr-recv-load-then-call-nested-call-and-type-int1-whole2	1	1	1
expr-call-in-expr-recv-load-then-call-nested-call-and-type-int2-more	233	226	58
expr-call-in-expr-recv-load-then-call-nested-call-and-type-real-more	1405	705	27
expr-call-in-expr-recv-load-then-call-nested-call-whole	1	1	1
expr-call-in-expr-recv-load-then-call-op-0x05	2	2	2
expr-call-in-expr-recv-load-then-call-op-0x1F	1	1	1
expr-call-in-expr-recv-load-then-call-op-0x20	1	1	1
expr-call-in-expr-recv-load-then-call-op-0x24	1	1	1
expr-call-in-expr-recv-load-then-call-op-0x38	1	1	1
expr-call-in-expr-recv-load-then-call-op-0x64	2243	796	526
expr-call-in-expr-recv-load-then-call-op-0x9B	732	428	259
expr-call-in-expr-recv-load-then-call-other	3137	734	637
expr-call-in-expr-recv-load-then-call-recv-deref-more	24	24	1
expr-call-in-expr-recv-load-then-call-recv-field-and-call-more	2	1	2
expr-call-in-expr-recv-load-then-call-recv-field-and-deref-load-more	935	714	3
expr-call-in-expr-recv-load-then-call-recv-field-and-op-more	4	3	3
expr-call-in-expr-recv-load-then-call-recv-field-off0-more	2	1	2
expr-call-in-expr-recv-load-then-call-recv-intrinsic-base-member-addr-and-deref-load-more	1	1	1
expr-call-in-expr-recv-load-then-call-recv-intrinsic-base-member-addr-and-plumbing-more	1	1	1
expr-call-in-expr-recv-load-then-call-recv-intrinsic-this-adjust-and-call-more	708	706	33
expr-call-in-expr-recv-load-then-call-recv-intrinsic-this-adjust-and-chain-bind-more	21	15	21
expr-call-in-expr-recv-load-then-call-recv-intrinsic-this-adjust-and-off-add-more	143	143	4
expr-call-in-expr-recv-load-then-call-recv-intrinsic-this-adjust-and-op-more	25	20	25
expr-call-in-expr-recv-load-then-call-recv-intrinsic-this-adjust-and-type-real-more	1	1	1
expr-call-in-expr-recv-load-then-call-recv-intrinsic-this-adjust-whole	1	1	1
expr-call-in-expr-recv-load-then-call-recv-intrinsic-vbase-upcast-and-call-more	5	1	5
expr-call-in-expr-recv-load-then-call-recv-intrinsic-vbase-upcast-and-op-more	1	1	1
expr-call-in-expr-recv-load-then-call-recv-load-and-call-more	3	3	3
expr-call-in-expr-recv-load-then-call-recv-load-and-chain-bind-more	1	1	1
expr-call-in-expr-recv-load-then-call-recv-load-and-deref-load-more	17838	639	2172
expr-call-in-expr-recv-load-then-call-recv-load-and-off-add-more	5	3	5
expr-call-in-expr-recv-load-then-call-recv-load-and-op-more	4790	823	170
expr-call-in-expr-recv-load-then-call-recv-load-and-temp-bind-more	403	211	100
expr-call-in-expr-recv-load-then-call-recv-load-and-type-int1-more	18	18	4
expr-call-in-expr-recv-load-then-call-recv-load-and-type-int1-whole2	1	1	1
expr-call-in-expr-recv-load-then-call-recv-load-and-type-real-more	19	8	19
expr-call-in-expr-recv-load-then-call-recv-load-and-type-real-whole2	3	1	3
expr-call-in-expr-recv-load-then-call-recv-load-more	11	6	11
expr-call-in-expr-recv-load-then-call-recv-load-whole	3188	741	325
expr-call-in-expr-recv-load-then-call-recv-object-and-call-more	5	5	5
expr-call-in-expr-recv-load-then-call-recv-object-and-deref-load-more	1	1	1
expr-call-in-expr-recv-load-then-call-recv-object-and-off-add-more	1	1	1
expr-call-in-expr-recv-load-then-call-recv-object-and-op-more	17	15	17
expr-call-in-expr-recv-load-then-call-recv-object-and-plumbing-more	1	1	1
expr-call-in-expr-recv-load-then-call-recv-object-and-type-int1-more	5	4	5
expr-call-in-expr-recv-load-then-call-recv-object-and-type-real-more	3	3	2
expr-call-in-expr-recv-load-then-call-recv-object-more	1	1	1
expr-call-in-expr-recv-load-then-call-recv-object-whole	2	1	2
expr-call-in-expr-recv-load-then-chain-bind-and-call-more	2	2	2
expr-call-in-expr-recv-load-then-chain-bind-and-deref-load-more	1	1	1
expr-call-in-expr-recv-load-then-cmp-eq-and-branch-more	53	33	49
expr-call-in-expr-recv-load-then-cmp-eq-and-op-more	5	3	5
expr-call-in-expr-recv-load-then-cmp-eq-and-type-int1-more	2	1	2
expr-call-in-expr-recv-load-then-cmp-eq-and-type-int1-whole2	1	1	0
expr-call-in-expr-recv-load-then-cmp-eq-more	8	8	2
expr-call-in-expr-recv-load-then-cmp-ge-and-branch-more	6	4	6
expr-call-in-expr-recv-load-then-cmp-ge-and-op-more	31	31	1
expr-call-in-expr-recv-load-then-cmp-gt-and-branch-more	850	307	32
expr-call-in-expr-recv-load-then-cmp-gt-and-op-more	2	2	2
expr-call-in-expr-recv-load-then-cmp-lt-and-branch-more	239	200	92
expr-call-in-expr-recv-load-then-cmp-lt-and-op-more	2	1	2
expr-call-in-expr-recv-load-then-cmp-lt-and-type-int1-whole2	66	66	1
expr-call-in-expr-recv-load-then-cmp-ne-and-branch-more	27	24	22
expr-call-in-expr-recv-load-then-cmp-ne-and-op-more	1	1	1
expr-call-in-expr-recv-load-then-cmp-ne-and-type-int1-more	2	2	2
expr-call-in-expr-recv-load-then-cmp-ne-and-type-int1-whole2	2	2	2
expr-call-in-expr-recv-load-then-deref-load-more	20707	816	1129
expr-call-in-expr-recv-load-then-int1u-misuse	1	1	1
expr-call-in-expr-recv-load-then-intrinsic-call	20180	826	2862
expr-call-in-expr-recv-load-then-not	3066	817	44
expr-call-in-expr-recv-load-then-off-add-and-branch-more	1	1	1
expr-call-in-expr-recv-load-then-off-add-and-call-more	7	5	6
expr-call-in-expr-recv-load-then-off-add-and-chain-bind-more	17	15	16
expr-call-in-expr-recv-load-then-off-add-and-chain-bind-whole2	2	2	2
expr-call-in-expr-recv-load-then-off-add-and-deref-load-more	1964	826	183
expr-call-in-expr-recv-load-then-off-add-and-deref-load-whole2	2	2	2
expr-call-in-expr-recv-load-then-off-add-and-deref-load-whole3	1	1	1
expr-call-in-expr-recv-load-then-off-add-and-op-more	4	4	4
expr-call-in-expr-recv-load-then-off-add-and-temp-bind-more	3	3	3
expr-call-in-expr-recv-load-then-off-add-and-type-int1-more	2	2	2
expr-call-in-expr-recv-load-then-off-add-and-type-int1-whole2	2	2	2
expr-call-in-expr-recv-load-then-off-add-and-type-int1-whole4	1	1	0
expr-call-in-expr-recv-load-then-off-add-and-type-int2-more	1	1	1
expr-call-in-expr-recv-load-then-off-add-and-type-real-more	3	3	3
expr-call-in-expr-recv-load-then-off-add-and-virtual-more	1	1	1
expr-call-in-expr-recv-load-then-off-add-more	796	702	68
expr-call-in-expr-recv-load-then-off-add-whole	471	470	27
expr-call-in-expr-recv-load-then-op-0x05	2	1	2
expr-call-in-expr-recv-load-then-op-0x08	701	701	1
expr-call-in-expr-recv-load-then-op-0x29	62	29	62
expr-call-in-expr-recv-load-then-op-0x33	10	8	8
expr-call-in-expr-recv-load-then-op-0x3B	3	3	3
expr-call-in-expr-recv-load-then-op-0x64	17	17	4
expr-call-in-expr-recv-load-then-or-or	1	1	1
expr-call-in-expr-recv-load-then-plumbing-0x3A	3012	825	128
expr-call-in-expr-recv-load-then-shr-whole	557	192	33
expr-call-in-expr-recv-load-then-temp-bind	1406	705	205
expr-call-in-expr-recv-load-then-type-aggregate-more	227	68	69
expr-call-in-expr-recv-load-then-type-int1-and-branch-more	4	4	2
expr-call-in-expr-recv-load-then-type-int1-and-call-more	3	2	3
expr-call-in-expr-recv-load-then-type-int1-and-off-add-more	2	2	1
expr-call-in-expr-recv-load-then-type-int1-and-op-more	883	823	60
expr-call-in-expr-recv-load-then-type-int1-and-op-whole2	823	823	0
expr-call-in-expr-recv-load-then-type-int1-and-plumbing-more	1	1	1
expr-call-in-expr-recv-load-then-type-int1-and-type-real-lit-more	1	1	1
expr-call-in-expr-recv-load-then-type-int1-more	4394	736	559
expr-call-in-expr-recv-load-then-type-int1-whole	409	169	70
expr-call-in-expr-recv-load-then-type-int2-more	1	1	1
expr-call-in-expr-recv-load-then-type-real-and-branch-more	4	2	4
expr-call-in-expr-recv-load-then-type-real-and-call-more	9	7	9
expr-call-in-expr-recv-load-then-type-real-and-deref-load-more	5	3	5
expr-call-in-expr-recv-load-then-type-real-and-off-add-more	1	1	1
expr-call-in-expr-recv-load-then-type-real-and-op-more	4	3	4
expr-call-in-expr-recv-load-then-type-real-and-op-whole3	1	1	1
expr-call-in-expr-recv-load-then-type-real-and-type-real-lit-more	5	4	5
expr-call-in-expr-recv-load-then-type-real-and-virtual-more	1	1	1
expr-call-in-expr-recv-load-then-type-real-lit-and-op-more	926	701	8
expr-call-in-expr-recv-load-then-type-real-lit-and-op-whole3	701	701	1
expr-call-in-expr-recv-load-then-type-real-lit-and-type-real-more	5	2	5
expr-call-in-expr-recv-load-then-type-real-more	2508	194	52
expr-call-in-expr-recv-load-then-type-real-whole	218	217	4
expr-call-in-expr-recv-load-then-type-void-and-op-more	1901	531	231
expr-call-in-expr-recv-load-then-virtual	12	10	11
expr-call-in-expr-recv-load-whole	17571	812	1494
expr-call-in-expr-recv-object-then-branch-brfalse	23669	699	470
expr-call-in-expr-recv-object-then-branch-brtrue	21	16	18
expr-call-in-expr-recv-object-then-call-chained-and-branch-more	2	1	2
expr-call-in-expr-recv-object-then-call-chained-and-deref-load-more	30	26	30
expr-call-in-expr-recv-object-then-call-chained-and-op-more	1	1	1
expr-call-in-expr-recv-object-then-call-chained-more	4	3	4
expr-call-in-expr-recv-object-then-call-data-addr-1sym-whole	1	1	1
expr-call-in-expr-recv-object-then-call-data-addr-and-branch-more	15	13	15
expr-call-in-expr-recv-object-then-call-data-addr-and-call-more	4	4	4
expr-call-in-expr-recv-object-then-call-data-addr-and-chain-bind-more	2	2	2
expr-call-in-expr-recv-object-then-call-data-addr-and-deref-load-more	19	16	19
expr-call-in-expr-recv-object-then-call-data-addr-and-off-add-more	1	1	1
expr-call-in-expr-recv-object-then-call-data-addr-and-op-more	35	13	34
expr-call-in-expr-recv-object-then-call-data-addr-and-plain-call-more	1	1	1
expr-call-in-expr-recv-object-then-call-data-addr-and-plumbing-more	15	7	15
expr-call-in-expr-recv-object-then-call-data-addr-and-temp-bind-more	4	3	4
expr-call-in-expr-recv-object-then-call-data-addr-and-type-aggregate-more	1	1	1
expr-call-in-expr-recv-object-then-call-data-addr-and-type-int1-more	1	1	1
expr-call-in-expr-recv-object-then-call-data-addr-and-type-real-lit-more	5	5	4
expr-call-in-expr-recv-object-then-call-data-addr-more	6	1	6
expr-call-in-expr-recv-object-then-call-nested-call-and-call-more	1511	709	90
expr-call-in-expr-recv-object-then-call-nested-call-and-call-whole2	9464	725	848
expr-call-in-expr-recv-object-then-call-nested-call-and-call-whole3	7560	703	202
expr-call-in-expr-recv-object-then-call-nested-call-and-call-whole4	6	3	6
expr-call-in-expr-recv-object-then-call-nested-call-and-chain-bind-more	1	1	1
expr-call-in-expr-recv-object-then-call-nested-call-and-off-add-more	1	1	1
expr-call-in-expr-recv-object-then-call-nested-call-and-op-more	7	6	7
expr-call-in-expr-recv-object-then-call-nested-call-and-plumbing-more	1	1	1
expr-call-in-expr-recv-object-then-call-nested-call-and-type-int1-more	3	3	3
expr-call-in-expr-recv-object-then-call-nested-call-and-type-real-more	1	1	1
expr-call-in-expr-recv-object-then-call-nested-call-whole	7	2	6
expr-call-in-expr-recv-object-then-call-op-0x05	1	1	1
expr-call-in-expr-recv-object-then-call-op-0x08	1	1	1
expr-call-in-expr-recv-object-then-call-op-0x38	3	2	3
expr-call-in-expr-recv-object-then-call-op-0x64	25	18	25
expr-call-in-expr-recv-object-then-call-op-0x67	6	6	6
expr-call-in-expr-recv-object-then-call-op-0x9B	93	64	88
expr-call-in-expr-recv-object-then-call-recv-field-and-op-more	1	1	1
expr-call-in-expr-recv-object-then-call-recv-intrinsic-this-adjust-and-call-more	1	1	1
expr-call-in-expr-recv-object-then-call-recv-intrinsic-this-adjust-and-off-add-more	2	2	2
expr-call-in-expr-recv-object-then-call-recv-intrinsic-this-adjust-and-op-more	1	1	1
expr-call-in-expr-recv-object-then-call-recv-intrinsic-this-adjust-and-temp-bind-more	25	16	25
expr-call-in-expr-recv-object-then-call-recv-intrinsic-this-adjust-and-type-int1-whole2	1	1	1
expr-call-in-expr-recv-object-then-call-recv-load-and-deref-load-more	1	1	1
expr-call-in-expr-recv-object-then-call-recv-load-and-off-add-more	3	2	3
expr-call-in-expr-recv-object-then-call-recv-load-and-op-more	44	35	20
expr-call-in-expr-recv-object-then-call-recv-load-and-plumbing-more	2	1	2
expr-call-in-expr-recv-object-then-call-recv-load-and-temp-bind-more	2	2	2
expr-call-in-expr-recv-object-then-call-recv-load-and-type-real-more	5	3	5
expr-call-in-expr-recv-object-then-call-recv-object-and-temp-bind-more	1	1	1
expr-call-in-expr-recv-object-then-call-recv-object-and-type-int1-more	1	1	1
expr-call-in-expr-recv-object-then-call-recv-object-more	18890	781	4738
expr-call-in-expr-recv-object-then-chain-bind-and-branch-more	3	2	3
expr-call-in-expr-recv-object-then-chain-bind-and-call-more	12	11	12
expr-call-in-expr-recv-object-then-chain-bind-and-deref-load-more	27	26	27
expr-call-in-expr-recv-object-then-chain-bind-and-op-more	1	1	1
expr-call-in-expr-recv-object-then-chain-bind-and-type-ptr-more	5	3	5
expr-call-in-expr-recv-object-then-chain-bind-whole	1	1	1
expr-call-in-expr-recv-object-then-cmp-eq-more	6	4	6
expr-call-in-expr-recv-object-then-cmp-ge-and-branch-more	2	2	2
expr-call-in-expr-recv-object-then-convert	1	1	1
expr-call-in-expr-recv-object-then-deref-load-more	2348	729	1482
expr-call-in-expr-recv-object-then-intrinsic-call	125	93	124
expr-call-in-expr-recv-object-then-off-add-and-call-more	720	714	7
expr-call-in-expr-recv-object-then-off-add-and-chain-bind-more	2	2	2
expr-call-in-expr-recv-object-then-off-add-and-deref-load-more	731	714	19
expr-call-in-expr-recv-object-then-off-add-and-deref-load-whole4	1	1	1
expr-call-in-expr-recv-object-then-off-add-and-op-more	6	6	1
expr-call-in-expr-recv-object-then-off-add-and-type-aggregate-more	3	2	3
expr-call-in-expr-recv-object-then-off-add-and-type-aggregate-whole2	1	1	1
expr-call-in-expr-recv-object-then-off-add-and-type-int1-more	5	4	4
expr-call-in-expr-recv-object-then-off-add-and-type-real-lit-more	1	1	1
expr-call-in-expr-recv-object-then-off-add-and-type-real-more	3	3	3
expr-call-in-expr-recv-object-then-off-add-and-type-real-whole3	1	1	0
expr-call-in-expr-recv-object-then-op-0x29	12	11	11
expr-call-in-expr-recv-object-then-op-0x33	5	4	5
expr-call-in-expr-recv-object-then-op-0x5C	1133	810	197
expr-call-in-expr-recv-object-then-op-0xB9	134	132	8
expr-call-in-expr-recv-object-then-plain-call-more	5	3	5
expr-call-in-expr-recv-object-then-plumbing-0x3A	1478	804	456
expr-call-in-expr-recv-object-then-temp-bind	9	8	9
expr-call-in-expr-recv-object-then-type-aggregate-more	6	4	6
expr-call-in-expr-recv-object-then-type-int1-and-op-more	1	1	1
expr-call-in-expr-recv-object-then-type-int1-more	98	41	96
expr-call-in-expr-recv-object-then-type-int1-whole	5	2	5
expr-call-in-expr-recv-object-then-type-ptr-and-op-more	195	171	182
expr-call-in-expr-recv-object-then-type-real-and-branch-more	1	1	1
expr-call-in-expr-recv-object-then-type-real-and-call-more	1	1	1
expr-call-in-expr-recv-object-then-type-real-and-off-add-more	3	3	2
expr-call-in-expr-recv-object-then-type-real-and-op-more	3	3	2
expr-call-in-expr-recv-object-then-type-real-and-plain-call-more	1	1	1
expr-call-in-expr-recv-object-then-type-real-and-plumbing-more	2	2	1
expr-call-in-expr-recv-object-then-type-real-and-type-real-lit-more	1	1	1
expr-call-in-expr-recv-object-then-type-real-lit-and-op-more	26	14	14
expr-call-in-expr-recv-object-then-type-real-lit-and-type-real-more	1	1	1
expr-call-in-expr-recv-object-then-type-real-whole	1	1	1
expr-call-in-expr-recv-object-then-virtual	19	16	15
expr-call-in-expr-recv-object-whole	5	5	5
expr-cmp-eq	18614	823	2389
expr-cmp-ge	1292	186	39
expr-cmp-gt	894	808	151
expr-cmp-le	1536	826	85
expr-cmp-lt	2916	740	380
expr-cmp-ne	10699	828	1083
expr-convert-no-value-0x2C	4977	828	369
expr-convert-target-8211	1	1	1
expr-convert-target-8212	807	806	1
expr-convert-target-8421	2	2	2
expr-convert-target-8422	1144	808	256
expr-convert-target-8641	72	66	22
expr-convert-target-8642	1657	825	7
expr-convert-target-8645	1414	704	20
expr-convert-target-8885	1	1	1
expr-intrinsic-0x848	1	1	1
expr-intrinsic-0xDD	6	6	6
expr-intrinsic-0xDF	12051	616	2027
expr-intrinsic-__frsqrte	1	1	1
expr-intrinsic-__mftb	5	3	3
expr-intrinsic-_abs64	830	830	0
expr-intrinsic-abs	830	830	0
expr-intrinsic-base-downcast	19971	806	1320
expr-intrinsic-base-member-addr	112770	832	6475
expr-intrinsic-base-upcast	20536	703	724
expr-intrinsic-call	5	5	2
expr-intrinsic-dynamic-cast	17693	698	1231
expr-intrinsic-fabs	5804	748	54
expr-intrinsic-memcmp	809	808	1
expr-intrinsic-memcpy	3364	721	99
expr-intrinsic-memset	29685	825	3749
expr-intrinsic-sqrt	2937	748	91
expr-intrinsic-strcmp	2521	815	52
expr-intrinsic-strcpy	5	4	5
expr-intrinsic-strlen	2462	825	110
expr-intrinsic-this-adjust	133603	832	9292
expr-intrinsic-vbase-member-addr	351	214	1
expr-intrinsic-vbase-upcast	1350	685	7
expr-jump	1187	826	297
expr-label	776	731	51
expr-lit-type-8207	4162	531	401
expr-lit-type-8211	11	9	11
expr-lit-type-8421	1471	735	609
expr-lit-type-8422	60	30	6
expr-lit-type-864A	18806	749	594
expr-lit-type-8881	1	1	1
expr-lit-type-8882	717	713	67
expr-lit-type-888A	8	6	8
expr-lit-type-9641	1653	827	1
expr-lit-type-A64A	3	2	2
expr-load-type-8211	1645	826	5
expr-load-type-8216	230	40	227
expr-load-type-8421	826	825	1
expr-load-type-8422	3568	825	242
expr-load-type-8645	65879	781	909
expr-load-type-8646	1485	325	79
expr-load-type-8881	2368	830	461
expr-load-type-8882	2281	825	5
expr-load-type-8885	41375	777	9
expr-load-type-8906	5	2	3
expr-load-type-A246	5	5	1
expr-load-type-A645	4	4	1
expr-load-type-A646	921	534	28
expr-not	17	15	14
expr-off-add-type-0x86	698	698	1
expr-off-add-type-0xA6	2	1	2
expr-op-0x05-8641	6923	497	592
expr-op-0x05-8642	2	2	2
expr-op-0x06-8641	4	4	4
expr-op-0x06-notype	1	1	1
expr-op-0x0E	1	1	1
expr-op-0x0F	523	453	80
expr-op-0x10	6021	586	546
expr-op-0x12	1	1	1
expr-op-0x18	1	1	1
expr-op-0x19	370	370	8
expr-op-0x28	9123	826	147
expr-op-0x30	201277	836	11410
expr-op-0x32	26905	832	2570
expr-op-0x35	3805	823	98
expr-op-0x36	835	824	18
expr-op-0x41	8591	733	72
expr-op-0x64	24383	698	424
expr-op-0x67	566	199	139
expr-op-0x99	1446	411	21
expr-op-0x9B	18106	825	1682
expr-op-0xBD	34	17	31
expr-or-or	1	1	1
expr-out-of-class-bare-nonformal:eof	4125	701	189
expr-out-of-class-formals9:eof	125	119	4
expr-ptr-arith:mid	19900	829	717
expr-shr-mixed-sign:mid	1520	808	256
expr-shr-sign-late:mid	1	1	1
expr-switch-dispatch	37	33	37
expr-ternary	1482	700	76
fn-tail-0x26	4550	531	585
formals-marker:mid	17	12	16
mcall-cmp-rel-ge:eof	701	701	1
mcall-cmp-rel-operand-type-8645	6	6	3
mcall-framed-args:eof	1	1	1
module-end-0x4D	7	7	6
module-end-0x4F	8702	826	585
module-end:eof	68	67	28
param-multi-reg:mid	2257	716	165
param-width-undetermined:mid	7237	103	365
result-type-0x33	1	1	1
result-type-0x41	807	806	1
return-scope-close-cflow-label	13175	733	1809
this-undetermined:mid	3214	698	0
