cell	n	values	marks	source_order_idx
sw_rc146	11	3,4,7,8,70,71,72,73,106,107,136	26190,2311,2074,6741,4672,14542,29090,20592,1362,1979,12151	10,5,1,3,6,7,4,9,0,8,2
sw_rc147	10	27,28,29,30,31,32,33,34,35,36	29343,5812,8144,19820,28760,11406,29741,8119,11216,10370	1,4,9,6,7,0,5,3,8,2
sw_rc148	18	1,2,3,4,5,6,7,41,42,43,86,87,91,92,93,95,106,107	1509,5372,28191,11337,10787,27688,25541,11867,9456,4094,24176,8845,19307,19164,8701,11663,3472,1722	2,16,9,8,13,3,4,5,10,17,12,0,7,6,14,15,1,11
sw_rc149	16	25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40	22958,9074,25257,21145,21557,1752,24647,6142,16752,2361,16361,3993,14066,29976,5581,16275	8,4,5,6,9,13,11,0,15,3,7,1,12,10,14,2
sw_rc150	17	17,18,42,43,44,45,62,65,66,67,90,91,165,166,167,168,179	13109,24643,26973,9943,18814,26942,3554,22703,15085,28652,4331,11350,4192,24907,20430,1821,26057	16,6,9,11,15,2,1,7,4,13,0,12,8,3,10,14,5
sw_rc151	12	7,8,9,49,53,61,62,63,139,140,193,195	5966,5853,23950,21213,17745,6999,3142,25436,28450,15401,21883,21831	3,2,9,4,11,6,5,7,0,8,1,10
sw_rc152	2	-1259,361	24586,20830	1,0
sw_rc153	14	31,32,33,34,35,36,37,38,39,40,41,42,43,44	1866,1013,7581,8777,10898,19847,10266,12545,8636,20355,28317,1060,5091,4514	13,10,9,1,7,5,4,12,6,8,0,11,3,2
sw_rc154	8	69,94,133,151,222,298,299,375	7173,17699,1004,9986,12346,13651,9026,8629	3,7,5,0,6,1,2,4
sw_rc155	15	16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	20794,27620,5845,16531,22592,20374,14906,26193,6510,28849,4024,28581,4563,27409,11154	11,3,13,4,5,6,0,14,2,7,10,9,8,12,1
sw_rc156	20	43,44,45,46,105,106,107,123,124,125,141,153,161,162,163,181,182,183,184,188	29543,16882,27455,2761,7198,7671,5396,2566,13287,8563,22033,25991,7344,4746,28213,26283,20597,25417,25225,25216	17,12,11,19,1,14,6,5,8,9,10,7,2,15,0,18,3,16,4,13
sw_rc157	2	201,378	4167,16917	0,1
sw_rc158	16	30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45	9840,16039,19227,14668,8597,7286,25953,14323,7647,1308,25307,3717,2160,29940,16177,13784	4,8,9,5,3,14,0,1,10,15,6,12,7,2,11,13
sw_rc159	12	-1839,-1797,-994,-490,-213,-141,-37,817,940,1588,1830,3458	21072,24995,5604,9501,16672,8213,4994,23848,22878,21331,26976,4578	11,2,4,8,10,3,7,5,1,9,0,6
sw_rc160	19	8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26	22892,29636,5251,12267,2651,22269,20221,25670,28093,5673,26212,24105,11050,14945,7839,15971,13733,6848,7393	10,16,12,15,4,14,0,13,8,11,18,2,7,1,6,9,5,3,17
sw_rc161	17	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	29620,5371,14903,29604,6074,3942,5435,15274,17262,9303,10467,17603,5333,10854,2947,4754,1655	4,13,1,16,5,6,15,3,11,2,12,7,0,9,14,10,8
sw_rc162	10	1,2,3,4,5,6,7,8,9,10	21979,24952,6680,5912,16654,27736,6909,3295,15637,20169	5,6,2,1,0,8,4,7,3,9
sw_rc163	20	31,57,59,94,121,185,190,212,213,214,223,240,245,266,283,284,289,315,353,365	22782,19723,28470,22952,14244,25966,6767,17777,23358,7827,13892,27246,12152,5425,7985,9088,2695,3062,14995,26561	3,15,19,4,9,17,6,0,2,7,16,13,8,14,11,10,12,18,5,1
sw_rc164	8	-1910,-1649,-796,12,809,895,918,1269	9462,9405,11933,8232,4453,17907,17263,29356	3,0,2,4,7,5,6,1
sw_rc165	20	-1811,-1269,-874,-525,537,624,1302,1358,1507,1528,1577,1792,2050,2486,2907,3153,3291,3507,3660,3713	29457,16239,3688,21491,16584,22170,3877,13987,16701,22453,4484,17391,7849,29435,29015,7129,9381,16941,19643,10164	1,8,4,18,19,12,13,6,17,2,0,7,3,10,16,11,14,5,9,15
sw_rc166	14	11,12,13,27,28,59,60,83,84,132,133,134,135,149	8974,14100,14717,19889,23938,7193,21403,15261,12489,22045,14671,15562,15950,22316	13,12,8,10,6,5,0,3,9,2,4,11,7,1
sw_rc167	2	19,122	1929,14376	1,0
sw_rc168	15	-1407,-1010,-931,24,255,499,680,774,1240,2127,2196,2243,3752,3842,3957	14633,18753,8610,13688,16203,5894,4722,1451,13736,25805,15498,5888,9799,2380,11795	3,2,14,6,5,7,0,4,12,13,1,9,10,11,8
sw_rc169	7	-1121,-561,576,973,1237,3074,3395	11082,5257,8860,1216,25076,18352,1848	2,4,3,0,5,6,1
sw_rc170	11	14,15,16,17,98,121,122,123,124,168,169	1465,12525,11549,12230,14912,6965,12383,25347,15860,15835,21584	4,8,10,5,3,2,9,0,6,1,7
sw_rc171	22	0,15,45,69,89,96,121,125,157,189,192,225,248,249,284,296,308,314,362,378,393,399	6294,4011,18239,27748,13297,21957,22845,26324,18189,18206,16353,4159,20585,13991,13663,17412,2858,17017,3898,23820,2202,9708	16,10,0,12,11,5,17,18,8,7,13,3,9,20,19,1,2,4,6,14,15,21
sw_rc172	9	-1651,-1242,-920,-238,-123,1397,1437,1603,2208	5607,1811,20644,5363,19914,10188,9128,14794,29028	5,7,6,4,3,1,2,8,0
sw_rc173	19	36,37,38,45,46,54,55,56,63,64,65,74,75,121,147,148,149,150,165	6809,9687,23248,16463,4308,4037,2237,19569,7885,21580,8414,23434,8761,8785,11897,16034,16491,4007,13088	3,14,1,10,13,17,4,2,6,9,12,5,0,15,7,18,8,11,16
sw_rc174	16	0,11,77,80,119,152,240,255,293,298,355,357,363,366,384,393	27198,27451,18302,21122,9624,17642,5851,29259,17060,9960,14500,10914,10691,12181,7826,11521	0,6,11,12,9,7,5,3,15,4,1,14,13,8,10,2
sw_rc175	22	-1871,-1767,-1598,-1175,-985,-437,-435,268,433,626,995,1178,1496,2091,2289,2446,2556,3182,3205,3379,3619,3854	9091,16769,26407,17845,9657,17876,21111,24779,21630,17311,22797,13039,1912,5923,17681,17190,10043,2948,1963,23029,18112,24462	20,3,0,10,1,2,7,4,19,5,15,8,12,13,6,17,14,9,16,18,11,21
sw_rc176	21	16,20,21,22,23,28,29,49,50,62,63,64,127,128,129,165,166,168,195,196,197	6752,18373,19552,6528,2188,18269,20457,20445,17917,13406,27513,10227,17227,26854,20893,4748,13974,23338,28359,12960,16263	13,2,9,7,19,16,18,4,8,5,17,0,15,20,3,6,10,1,14,12,11
sw_rc177	14	-1888,-1023,-704,611,661,941,2020,2207,2489,2896,3149,3533,3568,3842	29464,11739,19680,13356,6614,24319,5419,11902,17779,26894,18936,8390,2396,5430	8,5,10,0,3,12,4,1,7,6,11,13,2,9
sw_rc178	15	34,35,36,37,38,39,40,41,42,43,44,45,46,47,48	19871,2702,28653,2571,27133,9970,22056,9510,14442,25429,20278,7688,24408,28392,8940	13,2,11,8,6,1,12,14,7,4,10,0,9,5,3
sw_rc179	20	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	26845,14334,22289,26862,17086,20094,25158,25743,7558,12895,13403,11174,19511,18404,29533,20506,24846,28407,11069,9982	5,19,11,2,1,14,6,13,16,3,10,8,12,9,17,7,18,4,15,0
sw_rc180	7	43,74,75,152,160,238,321	17474,9502,25073,21011,22927,25527,24672	2,4,5,1,3,6,0
sw_rc181	21	-1870,-1754,-1572,-1538,-1232,-1101,-222,315,434,901,936,1301,1361,1481,1494,1574,2398,2628,2718,3740,3842	12396,2293,1218,25701,11050,2874,24242,5107,25254,13725,9691,28492,14854,13799,9973,23845,6540,12767,5276,17114,26325	8,1,4,13,12,9,0,20,10,7,16,6,15,5,17,11,19,3,18,14,2
sw_rc182	12	3,4,5,6,7,8,9,10,11,12,13,14	22347,6085,28955,3065,17115,29917,5212,18333,14520,11767,27702,9576	4,11,2,9,10,6,1,7,5,8,0,3
sw_rc183	2	165,166	11362,20830	0,1
sw_rc184	15	-1288,-924,-901,-424,39,93,171,460,688,826,845,1784,2171,3113,3305	12569,14747,28857,6323,11915,13638,19845,28400,18253,28856,22143,2946,9592,12759,6587	9,10,0,2,6,11,1,4,5,13,3,12,14,8,7
sw_rc185	16	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	16541,21615,23560,27275,13208,27372,8779,28143,22520,15669,6373,17341,28870,11412,7386,26271	6,2,11,5,9,0,13,7,3,1,12,10,8,15,14,4
sw_rc186	12	27,28,29,30,71,72,73,74,115,163,164,165	28133,8075,24168,14845,5925,21456,3923,5640,6803,12762,26534,7259	6,1,0,4,3,5,2,7,9,10,11,8
sw_rc187	2	65,66	12374,20884	0,1
sw_rc188	10	29,30,31,32,33,34,35,36,37,38	2035,9927,18686,18600,23139,24404,1897,6183,8999,16987	3,4,0,1,5,8,6,2,7,9
sw_rc189	2	30,31	28536,17771	0,1
sw_rc190	12	14,15,16,17,18,19,20,21,22,23,24,25	11100,11349,22205,8397,8230,20568,10129,10576,15137,10473,28318,17103	10,7,0,2,5,6,1,8,9,3,11,4
sw_rc191	21	3,64,70,79,92,93,100,119,169,197,238,259,264,267,271,273,327,338,373,398,399	18310,17362,28237,7861,14923,16472,11418,9893,4296,4640,4097,24671,17994,6198,26552,24539,22381,19026,22803,10426,1226	18,20,2,0,17,5,19,4,1,13,3,12,9,15,14,16,7,11,10,6,8
sw_rc192	17	9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25	13510,16480,16175,24058,6315,2940,4604,14917,28373,24758,25785,22181,24926,27447,23333,2045,26762	2,8,4,11,5,0,3,10,12,6,1,7,13,15,14,9,16
sw_rc193	6	20,21,22,23,24,25	19145,27780,26663,6905,2378,8501	0,4,5,1,2,3
sw_rc194	14	4,29,60,119,130,153,190,211,239,250,272,303,315,342	20935,16040,29793,18716,21287,16284,4218,14648,9396,17091,28604,19393,11657,28265	4,8,12,13,2,11,9,5,3,0,10,6,7,1
sw_rc195	2	-1913,3134	5599,24895	0,1
sw_rc196	19	8,9,13,14,29,51,52,97,98,99,100,137,155,156,161,162,172,173,195	27905,2806,6011,14841,27923,26135,12561,18658,20939,10701,13317,23645,7958,15859,6907,18078,13683,9409,8612	9,14,6,13,8,5,15,18,2,16,11,1,4,0,7,17,10,3,12
sw_rc197	14	27,28,29,41,42,43,44,98,99,136,137,138,175,176	16750,27294,15641,20487,2420,26187,22682,17049,8777,28656,25491,16326,1714,8278	7,9,8,2,10,1,5,6,0,11,13,4,12,3
sw_rc198	4	-140,-98,2577,3349	25282,7742,1855,21741	0,3,1,2
sw_rc199	4	15,16,17,18	15900,7809,9712,26371	2,1,3,0
sw_rc200	7	11,12,13,14,15,16,17	12653,1884,14219,20522,12581,1462,10290	5,3,1,2,0,4,6
sw_rc201	13	7,30,36,65,121,173,188,191,245,277,356,357,366	21644,18723,11524,12800,1459,25691,18241,18164,19952,19238,8290,29052,28501	6,0,9,10,12,5,3,1,11,8,2,7,4
sw_rc202	13	74,75,76,77,132,133,134,161,162,163,164,182,199	10004,22684,14844,15796,28770,20483,1967,21816,8501,5493,16055,18843,22404	7,11,1,3,6,10,4,12,9,5,8,0,2
sw_rc203	6	4,5,6,7,8,9	20177,9390,7741,24149,13240,20347	1,3,0,5,2,4
sw_rc204	14	5,6,10,39,40,79,122,123,124,125,151,152,166,167	15356,4218,29793,29006,13254,21417,17522,4888,6566,28052,27830,20144,4835,25172	5,7,1,8,13,12,3,0,4,2,6,9,10,11
sw_rc205	5	41,127,205,244,307	19786,4267,1589,28412,16403	4,0,1,2,3
sw_rc206	17	-1925,-1920,-1890,-1708,-1406,-1289,-954,-525,-11,149,1040,1158,1843,1885,2191,2558,2657	21289,8665,13481,9158,10719,6686,6115,24658,5836,11542,4606,26431,9368,7942,28428,9841,28271	3,16,15,5,7,0,11,10,6,13,9,14,1,12,8,4,2
sw_rc207	23	-1725,-1182,384,464,702,813,1152,1271,1613,1623,1703,1903,1918,2499,2755,2878,3052,3191,3643,3726,3889,3902,3909	22617,19717,11428,10197,4056,11392,26352,5284,12744,28673,23869,6333,13863,10973,28008,19331,12203,22152,14403,17571,2206,14426,12101	19,16,10,18,8,13,9,3,4,2,22,1,21,17,7,11,12,6,15,14,5,0,20
sw_rc208	21	6,49,53,86,125,138,142,188,210,258,261,265,269,286,303,307,311,329,335,353,391	10338,24953,1866,6982,23613,10620,13221,14346,10402,28866,20527,28626,11976,5812,27442,11279,8594,7120,4987,20439,27238	8,2,14,7,13,6,10,12,15,5,19,11,1,0,20,3,16,17,9,4,18
sw_rc209	17	52,73,87,95,108,186,199,215,218,237,243,245,279,344,354,356,363	25157,24770,26384,24852,8339,9488,16147,13246,27198,18178,26226,6565,25397,6588,6387,22809,10202	16,13,3,2,4,0,10,14,12,8,6,7,11,15,1,5,9
sw_rc210	5	-374,500,1335,3148,3461	11508,18361,27189,19752,2757	0,3,1,4,2
sw_rc211	20	-1875,-1600,-1200,-1139,-1061,-407,41,608,692,743,780,936,1079,1082,1488,1977,2380,2663,3450,3924	17150,19013,26563,26910,27094,10411,7727,10873,6718,10115,3337,21339,11644,14937,17488,22692,13579,3943,1321,16636	19,2,7,10,6,0,16,5,15,12,4,3,11,17,9,13,8,18,1,14
sw_rc212	5	-942,1190,1395,2520,2617	19825,3852,25365,28168,23314	2,4,3,1,0
sw_rc213	18	11,25,34,90,144,164,168,176,178,180,183,210,224,252,264,287,327,375	27505,21291,8465,25844,14006,16028,6711,14349,9162,2824,22043,6699,21013,7186,1438,8486,10124,6706	6,16,10,5,0,8,3,4,1,13,11,14,7,17,2,12,15,9
sw_rc214	21	-1949,-1842,-1637,-1241,-974,-7,23,746,824,930,1016,1871,2116,2467,2608,2818,3117,3141,3296,3410,3968	14346,17616,2443,27633,12148,19177,20487,13168,25935,26346,22510,13087,7625,3863,11851,10880,5090,25486,9937,29782,4103	2,14,16,6,17,18,7,1,5,8,4,12,20,3,10,9,19,13,0,15,11
sw_rc215	7	45,48,59,60,61,62,132	22078,26348,3353,17080,25921,10489,4732	1,2,0,4,3,6,5
sw_rc216	2	-1043,1805	9705,18149	0,1
sw_rc217	24	-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	1239,26637,10371,6349,29578,29169,1209,17621,3469,8493,29036,26502,17423,14186,28959,17810,22284,25745,22401,13744,17934,16175,1263,24578	16,5,4,6,14,23,10,11,1,21,19,18,0,17,15,13,22,3,8,9,20,2,7,12
sw_rc218	4	131,245,272,281	8046,9040,8745,3584	2,1,0,3
sw_rc219	22	4,17,48,59,63,71,79,99,119,126,144,172,173,223,242,274,284,299,320,357,359,380	5220,19767,17866,16622,25974,9606,16769,5065,14497,25928,11125,25249,11829,7247,15595,22040,3581,18509,21788,19367,11236,11988	0,4,8,18,21,17,2,6,12,13,10,5,15,1,19,3,14,20,11,16,7,9
sw_rc220	13	39,71,75,116,125,181,207,236,260,269,272,276,321	3108,4922,6828,14649,13218,6228,1894,17214,28406,18441,2050,16435,5807	11,3,4,0,5,12,2,7,9,1,6,8,10
sw_rc221	3	14,79,102	5512,2096,11062	1,0,2
sw_rc222	12	17,18,41,42,43,119,130,131,132,200,201,202	29182,10784,6938,7285,13529,15833,11562,15130,16838,12839,23919,27158	9,5,7,6,3,8,1,0,4,11,10,2
sw_rc223	23	12,44,49,82,84,113,123,129,137,144,145,167,186,190,191,207,226,262,306,318,335,358,399	20197,16097,8909,13269,19692,24928,23924,2528,5237,11656,12137,25572,12223,10290,11469,16009,26839,29783,25853,2412,21206,19315,29911	10,21,22,6,16,7,15,5,11,4,18,8,19,9,20,13,1,2,14,12,0,3,17
sw_rc224	24	-1393,-1336,-962,-941,-638,-437,283,498,506,913,947,1027,1072,1099,1278,1353,1722,1725,1776,2619,2705,3115,3331,3424	20188,14602,8208,11991,12552,2878,9963,11358,16537,20570,13325,15481,16298,11213,26430,13202,11743,7429,20429,13241,9041,17551,2855,7295	3,8,17,0,4,11,1,10,6,9,14,16,21,13,20,18,12,22,5,7,19,2,23,15
sw_rc225	22	19,25,43,51,54,56,72,121,124,125,133,141,230,262,265,275,292,313,342,355,367,384	20655,2850,25242,22574,21591,28324,5634,27688,8808,27405,3630,28312,21256,10277,9561,6638,4930,15756,23874,19140,23383,3013	12,18,13,16,10,21,2,4,15,1,17,11,20,14,8,7,3,6,0,19,9,5
sw_rc226	10	25,26,27,28,29,30,31,32,33,34	24294,16561,7050,1486,1973,25261,15484,6171,21697,18356	1,6,3,9,8,2,0,4,5,7
sw_rc227	20	13,14,15,16,19,118,129,130,131,132,134,135,136,143,144,156,159,160,161,246	29820,6807,16614,7790,10734,29033,4459,7332,11343,27709,4853,18068,3938,1937,28343,3925,12519,19485,5218,27680	4,3,2,15,10,1,6,9,14,0,13,11,5,19,17,7,16,12,8,18
sw_rc228	23	38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60	28572,9290,12712,10269,26333,17934,29879,6662,26043,8990,18816,11987,29711,7742,13099,6042,12054,3792,5308,23163,21611,9705,22599	13,1,3,7,16,5,9,20,17,6,14,12,11,19,21,10,4,8,18,0,2,22,15
sw_rc229	23	-1629,-627,-304,-36,70,278,1049,1624,1960,1998,2238,2761,2810,2834,3018,3196,3357,3461,3530,3616,3807,3974,3983	29719,2691,19819,28008,23851,26192,7703,7076,1341,21616,29797,19768,26350,21896,2846,19442,17257,28342,21585,9976,23115,27360,14458	16,9,17,10,22,18,2,20,1,11,13,5,7,6,14,19,4,3,21,8,15,0,12
sw_rc230	20	-1944,-1745,-1350,-1118,-1100,-1001,-590,-505,-197,-112,110,595,711,1045,1677,1862,2375,2848,2869,3536	29561,20840,11219,20821,10083,21989,26820,8322,11271,20773,21650,2210,21415,27132,4441,12977,18599,10176,20273,12674	15,11,13,4,14,8,18,17,1,0,6,16,7,5,3,2,9,19,12,10
sw_rc231	17	-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13	29453,22015,14567,11595,14497,6185,23489,13881,9785,5121,9511,27332,23609,24666,10449,4511,25282	6,16,0,8,12,14,1,13,2,5,15,7,9,11,4,3,10
sw_rc232	17	19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35	24659,16569,15397,14877,6059,18996,24149,22844,6009,14539,15659,22743,2151,21582,7011,16629,16565	0,1,3,6,8,9,12,11,10,16,5,14,13,4,15,2,7
sw_rc233	8	56,57,104,105,106,116,117,157	16642,4871,27433,23238,4040,24523,9308,20138	3,4,6,1,7,2,5,0
sw_rc234	18	-1538,-641,-340,-337,-213,299,306,405,556,917,1223,1491,1576,2300,2319,2869,3360,3462	9064,18857,2978,8187,14075,21108,20945,28332,19766,22130,16830,18296,8131,27144,7324,6218,23902,23940	6,16,4,17,7,0,11,10,13,2,8,1,9,5,3,15,12,14
sw_rc235	17	-1485,-1222,-2,131,809,821,875,883,1332,1353,1746,1790,3016,3196,3355,3539,3960	3374,10654,29977,19565,26501,3426,4885,3588,6131,29884,20279,9512,4943,9578,21329,17494,9695	1,4,0,11,3,12,16,6,10,2,13,14,9,7,8,15,5
sw_rc236	13	9,10,11,12,13,14,15,16,17,18,19,20,21	8899,7775,13057,2968,20814,9796,13696,28818,7149,9526,17863,21229,11963	0,2,3,7,9,5,8,4,11,12,6,10,1
sw_rc237	4	7,8,9,10	11019,26251,15615,9969	3,2,1,0
sw_rc238	9	24,69,70,80,172,197,198,199,200	15934,9812,25171,23314,8675,22094,16466,8653,12589	6,2,4,5,1,0,8,3,7
sw_rc239	9	28,29,30,31,32,33,34,35,36	17410,14626,19084,4173,17373,21323,11300,10913,7327	5,7,8,4,2,0,3,1,6
